Serial No.,Student ID,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
1,25001,337,118,4,4.5,4.5,9.65,1,0.92
2,25002,324,107,4,4,4.5,8.87,1,0.76
3,25003,316,104,3,3,3.5,8,1,0.72
4,25004,322,110,3,3.5,2.5,8.67,1,0.8
5,25005,314,103,2,2,3,8.21,0,0.65
6,25006,330,115,5,4.5,3,9.34,1,0.9
7,25007,321,109,3,3,4,8.2,1,0.75
8,25008,308,101,2,3,4,7.9,0,0.68
9,25009,302,102,1,2,1.5,8,0,0.5
10,25010,323,108,3,3.5,3,8.6,0,0.45
11,25011,325,106,3,3.5,4,8.4,1,0.52
12,25012,327,111,4,4,4.5,9,1,0.84
13,25013,328,112,4,4,4.5,9.1,1,0.78
14,25014,307,109,3,4,3,8,1,0.62
15,25015,311,104,3,3.5,2,8.2,1,0.61
16,25016,314,105,3,3.5,2.5,8.3,0,0.54
17,25017,317,107,3,4,3,8.7,0,0.66
18,25018,319,106,3,4,3,8,1,0.65
19,25019,318,110,3,4,3,8.8,0,0.63
20,25020,303,102,3,3.5,3,8.5,0,0.62
21,25021,312,107,3,3,2,7.9,1,0.64
22,25022,325,114,4,3,2,8.4,0,0.7
23,25023,328,116,5,5,5,9.5,1,0.94
24,25024,334,119,5,5,4.5,9.7,1,0.95
25,25025,336,119,5,4,3.5,9.8,1,0.97
26,25026,340,120,5,4.5,4.5,9.6,1,0.94
27,25027,322,109,5,4.5,3.5,8.8,0,0.76
28,25028,298,98,2,1.5,2.5,7.5,1,0.44
29,25029,295,93,1,2,2,7.2,0,0.46
30,25030,310,99,2,1.5,2,7.3,0,0.54
31,25031,300,97,2,3,3,8.1,1,0.65
32,25032,327,103,3,4,4,8.3,1,0.74
33,25033,338,118,4,3,4.5,9.4,1,0.91
34,25034,340,114,5,4,4,9.6,1,0.9
35,25035,331,112,5,4,5,9.8,1,0.94
36,25036,320,110,5,5,5,9.2,1,0.88
37,25037,299,106,2,4,4,8.4,0,0.64
38,25038,300,105,1,1,2,7.8,0,0.58
39,25039,304,105,1,3,1.5,7.5,0,0.52
40,25040,307,108,2,4,3.5,7.7,0,0.48
41,25041,308,110,3,3.5,3,8,1,0.46
42,25042,316,105,2,2.5,2.5,8.2,1,0.49
43,25043,313,107,2,2.5,2,8.5,1,0.53
44,25044,332,117,4,4.5,4,9.1,0,0.87
45,25045,326,113,5,4.5,4,9.4,1,0.91
46,25046,322,110,5,5,4,9.1,1,0.88
47,25047,329,114,5,4,5,9.3,1,0.86
48,25048,339,119,5,4.5,4,9.7,0,0.89
49,25049,321,110,3,3.5,5,8.85,1,0.82
50,25050,327,111,4,3,4,8.4,1,0.78
51,25051,313,98,3,2.5,4.5,8.3,1,0.76
52,25052,312,100,2,1.5,3.5,7.9,1,0.56
53,25053,334,116,4,4,3,8,1,0.78
54,25054,324,112,4,4,2.5,8.1,1,0.72
55,25055,322,110,3,3,3.5,8,0,0.7
56,25056,320,103,3,3,3,7.7,0,0.64
57,25057,316,102,3,2,3,7.4,0,0.64
58,25058,298,99,2,4,2,7.6,0,0.46
59,25059,300,99,1,3,2,6.8,1,0.36
60,25060,311,104,2,2,2,8.3,0,0.42
61,25061,309,100,2,3,3,8.1,0,0.48
62,25062,307,101,3,4,3,8.2,0,0.47
63,25063,304,105,2,3,3,8.2,1,0.54
64,25064,315,107,2,4,3,8.5,1,0.56
65,25065,325,111,3,3,3.5,8.7,0,0.52
66,25066,325,112,4,3.5,3.5,8.92,0,0.55
67,25067,327,114,3,3,3,9.02,0,0.61
68,25068,316,107,2,3.5,3.5,8.64,1,0.57
69,25069,318,109,3,3.5,4,9.22,1,0.68
70,25070,328,115,4,4.5,4,9.16,1,0.78
71,25071,332,118,5,5,5,9.64,1,0.94
72,25072,336,112,5,5,5,9.76,1,0.96
73,25073,321,111,5,5,5,9.45,1,0.93
74,25074,314,108,4,4.5,4,9.04,1,0.84
75,25075,314,106,3,3,5,8.9,0,0.74
76,25076,329,114,2,2,4,8.56,1,0.72
77,25077,327,112,3,3,3,8.72,1,0.74
78,25078,301,99,2,3,2,8.22,0,0.64
79,25079,296,95,2,3,2,7.54,1,0.44
80,25080,294,93,1,1.5,2,7.36,0,0.46
81,25081,312,105,3,2,3,8.02,1,0.5
82,25082,340,120,4,5,5,9.5,1,0.96
83,25083,320,110,5,5,4.5,9.22,1,0.92
84,25084,322,115,5,4,4.5,9.36,1,0.92
85,25085,340,115,5,4.5,4.5,9.45,1,0.94
86,25086,319,103,4,4.5,3.5,8.66,0,0.76
87,25087,315,106,3,4.5,3.5,8.42,0,0.72
88,25088,317,107,2,3.5,3,8.28,0,0.66
89,25089,314,108,3,4.5,3.5,8.14,0,0.64
90,25090,316,109,4,4.5,3.5,8.76,1,0.74
91,25091,318,106,2,4,4,7.92,1,0.64
92,25092,299,97,3,5,3.5,7.66,0,0.38
93,25093,298,98,2,4,3,8.03,0,0.34
94,25094,301,97,2,3,3,7.88,1,0.44
95,25095,303,99,3,2,2.5,7.66,0,0.36
96,25096,304,100,4,1.5,2.5,7.84,0,0.42
97,25097,306,100,2,3,3,8,0,0.48
98,25098,331,120,3,4,4,8.96,1,0.86
99,25099,332,119,4,5,4.5,9.24,1,0.9
100,25100,323,113,3,4,4,8.88,1,0.79
101,25101,322,107,3,3.5,3.5,8.46,1,0.71
102,25102,312,105,2,2.5,3,8.12,0,0.64
103,25103,314,106,2,4,3.5,8.25,0,0.62
104,25104,317,104,2,4.5,4,8.47,0,0.57
105,25105,326,112,3,3.5,3,9.05,1,0.74
106,25106,316,110,3,4,4.5,8.78,1,0.69
107,25107,329,111,4,4.5,4.5,9.18,1,0.87
108,25108,338,117,4,3.5,4.5,9.46,1,0.91
109,25109,331,116,5,5,5,9.38,1,0.93
110,25110,304,103,5,5,4,8.64,0,0.68
111,25111,305,108,5,3,3,8.48,0,0.61
112,25112,321,109,4,4,4,8.68,1,0.69
113,25113,301,107,3,3.5,3.5,8.34,1,0.62
114,25114,320,110,2,4,3.5,8.56,0,0.72
115,25115,311,105,3,3.5,3,8.45,1,0.59
116,25116,310,106,4,4.5,4.5,9.04,1,0.66
117,25117,299,102,3,4,3.5,8.62,0,0.56
118,25118,290,104,4,2,2.5,7.46,0,0.45
119,25119,296,99,2,3,3.5,7.28,0,0.47
120,25120,327,104,5,3,3.5,8.84,1,0.71
121,25121,335,117,5,5,5,9.56,1,0.94
122,25122,334,119,5,4.5,4.5,9.48,1,0.94
123,25123,310,106,4,1.5,2.5,8.36,0,0.57
124,25124,308,108,3,3.5,3.5,8.22,0,0.61
125,25125,301,106,4,2.5,3,8.47,0,0.57
126,25126,300,100,3,2,3,8.66,1,0.64
127,25127,323,113,3,4,3,9.32,1,0.85
128,25128,319,112,3,2.5,2,8.71,1,0.78
129,25129,326,112,3,3.5,3,9.1,1,0.84
130,25130,333,118,5,5,5,9.35,1,0.92
131,25131,339,114,5,4,4.5,9.76,1,0.96
132,25132,303,105,5,5,4.5,8.65,0,0.77
133,25133,309,105,5,3.5,3.5,8.56,0,0.71
134,25134,323,112,5,4,4.5,8.78,0,0.79
135,25135,333,113,5,4,4,9.28,1,0.89
136,25136,314,109,4,3.5,4,8.77,1,0.82
137,25137,312,103,3,5,4,8.45,0,0.76
138,25138,316,100,2,1.5,3,8.16,1,0.71
139,25139,326,116,2,4.5,3,9.08,1,0.8
140,25140,318,109,1,3.5,3.5,9.12,0,0.78
141,25141,329,110,2,4,3,9.15,1,0.84
142,25142,332,118,2,4.5,3.5,9.36,1,0.9
143,25143,331,115,5,4,3.5,9.44,1,0.92
144,25144,340,120,4,4.5,4,9.92,1,0.97
145,25145,325,112,2,3,3.5,8.96,1,0.8
146,25146,320,113,2,2,2.5,8.64,1,0.81
147,25147,315,105,3,2,2.5,8.48,0,0.75
148,25148,326,114,3,3,3,9.11,1,0.83
149,25149,339,116,4,4,3.5,9.8,1,0.96
150,25150,311,106,2,3.5,3,8.26,1,0.79
151,25151,334,114,4,4,4,9.43,1,0.93
152,25152,332,116,5,5,5,9.28,1,0.94
153,25153,321,112,5,5,5,9.06,1,0.86
154,25154,324,105,3,3,4,8.75,0,0.79
155,25155,326,108,3,3,3.5,8.89,0,0.8
156,25156,312,109,3,3,3,8.69,0,0.77
157,25157,315,105,3,2,2.5,8.34,0,0.7
158,25158,309,104,2,2,2.5,8.26,0,0.65
159,25159,306,106,2,2,2.5,8.14,0,0.61
160,25160,297,100,1,1.5,2,7.9,0,0.52
161,25161,315,103,1,1.5,2,7.86,0,0.57
162,25162,298,99,1,1.5,3,7.46,0,0.53
163,25163,318,109,3,3,3,8.5,0,0.67
164,25164,317,105,3,3.5,3,8.56,0,0.68
165,25165,329,111,4,4.5,4,9.01,1,0.81
166,25166,322,110,5,4.5,4,8.97,0,0.78
167,25167,302,102,3,3.5,5,8.33,0,0.65
168,25168,313,102,3,2,3,8.27,0,0.64
169,25169,293,97,2,2,4,7.8,1,0.64
170,25170,311,99,2,2.5,3,7.98,0,0.65
171,25171,312,101,2,2.5,3.5,8.04,1,0.68
172,25172,334,117,5,4,4.5,9.07,1,0.89
173,25173,322,110,4,4,5,9.13,1,0.86
174,25174,323,113,4,4,4.5,9.23,1,0.89
175,25175,321,111,4,4,4,8.97,1,0.87
176,25176,320,111,4,4.5,3.5,8.87,1,0.85
177,25177,329,119,4,4.5,4.5,9.16,1,0.9
178,25178,319,110,3,3.5,3.5,9.04,0,0.82
179,25179,309,108,3,2.5,3,8.12,0,0.72
180,25180,307,102,3,3,3,8.27,0,0.73
181,25181,300,104,3,3.5,3,8.16,0,0.71
182,25182,305,107,2,2.5,2.5,8.42,0,0.71
183,25183,299,100,2,3,3.5,7.88,0,0.68
184,25184,314,110,3,4,4,8.8,0,0.75
185,25185,316,106,2,2.5,4,8.32,0,0.72
186,25186,327,113,4,4.5,4.5,9.11,1,0.89
187,25187,317,107,3,3.5,3,8.68,1,0.84
188,25188,335,118,5,4.5,3.5,9.44,1,0.93
189,25189,331,115,5,4.5,3.5,9.36,1,0.93
190,25190,324,112,5,5,5,9.08,1,0.88
191,25191,324,111,5,4.5,4,9.16,1,0.9
192,25192,323,110,5,4,5,8.98,1,0.87
193,25193,322,114,5,4.5,4,8.94,1,0.86
194,25194,336,118,5,4.5,5,9.53,1,0.94
195,25195,316,109,3,3.5,3,8.76,0,0.77
196,25196,307,107,2,3,3.5,8.52,1,0.78
197,25197,306,105,2,3,2.5,8.26,0,0.73
198,25198,310,106,2,3.5,2.5,8.33,0,0.73
199,25199,311,104,3,4.5,4.5,8.43,0,0.7
200,25200,313,107,3,4,4.5,8.69,0,0.72
201,25201,317,103,3,2.5,3,8.54,1,0.73
202,25202,315,110,2,3.5,3,8.46,1,0.72
203,25203,340,120,5,4.5,4.5,9.91,1,0.97
204,25204,334,120,5,4,5,9.87,1,0.97
205,25205,298,105,3,3.5,4,8.54,0,0.69
206,25206,295,99,2,2.5,3,7.65,0,0.57
207,25207,315,99,2,3.5,3,7.89,0,0.63
208,25208,310,102,3,3.5,4,8.02,1,0.66
209,25209,305,106,2,3,3,8.16,0,0.64
210,25210,301,104,3,3.5,4,8.12,1,0.68
211,25211,325,108,4,4.5,4,9.06,1,0.79
212,25212,328,110,4,5,4,9.14,1,0.82
213,25213,338,120,4,5,5,9.66,1,0.95
214,25214,333,119,5,5,4.5,9.78,1,0.96
215,25215,331,117,4,4.5,5,9.42,1,0.94
216,25216,330,116,5,5,4.5,9.36,1,0.93
217,25217,322,112,4,4.5,4.5,9.26,1,0.91
218,25218,321,109,4,4,4,9.13,1,0.85
219,25219,324,110,4,3,3.5,8.97,1,0.84
220,25220,312,104,3,3.5,3.5,8.42,0,0.74
221,25221,313,103,3,4,4,8.75,0,0.76
222,25222,316,110,3,3.5,4,8.56,0,0.75
223,25223,324,113,4,4.5,4,8.79,0,0.76
224,25224,308,109,2,3,4,8.45,0,0.71
225,25225,305,105,2,3,2,8.23,0,0.67
226,25226,296,99,2,2.5,2.5,8.03,0,0.61
227,25227,306,110,2,3.5,4,8.45,0,0.63
228,25228,312,110,2,3.5,3,8.53,0,0.64
229,25229,318,112,3,4,3.5,8.67,0,0.71
230,25230,324,111,4,3,3,9.01,1,0.82
231,25231,313,104,3,4,4.5,8.65,0,0.73
232,25232,319,106,3,3.5,2.5,8.33,1,0.74
233,25233,312,107,2,2.5,3.5,8.27,0,0.69
234,25234,304,100,2,2.5,3.5,8.07,0,0.64
235,25235,330,113,5,5,4,9.31,1,0.91
236,25236,326,111,5,4.5,4,9.23,1,0.88
237,25237,325,112,4,4,4.5,9.17,1,0.85
238,25238,329,114,5,4.5,5,9.19,1,0.86
239,25239,310,104,3,2,3.5,8.37,0,0.7
240,25240,299,100,1,1.5,2,7.89,0,0.59
241,25241,296,101,1,2.5,3,7.68,0,0.6
242,25242,317,103,2,2.5,2,8.15,0,0.65
243,25243,324,115,3,3.5,3,8.76,1,0.7
244,25244,325,114,3,3.5,3,9.04,1,0.76
245,25245,314,107,2,2.5,4,8.56,0,0.63
246,25246,328,110,4,4,2.5,9.02,1,0.81
247,25247,316,105,3,3,3.5,8.73,0,0.72
248,25248,311,104,2,2.5,3.5,8.48,0,0.71
249,25249,324,110,3,3.5,4,8.87,1,0.8
250,25250,321,111,3,3.5,4,8.83,1,0.77
251,25251,320,104,3,3,2.5,8.57,1,0.74
252,25252,316,99,2,2.5,3,9,0,0.7
253,25253,318,100,2,2.5,3.5,8.54,1,0.71
254,25254,335,115,4,4.5,4.5,9.68,1,0.93
255,25255,321,114,4,4,5,9.12,0,0.85
256,25256,307,110,4,4,4.5,8.37,0,0.79
257,25257,309,99,3,4,4,8.56,0,0.76
258,25258,324,100,3,4,5,8.64,1,0.78
259,25259,326,102,4,5,5,8.76,1,0.77
260,25260,331,119,4,5,4.5,9.34,1,0.9
261,25261,327,108,5,5,3.5,9.13,1,0.87
262,25262,312,104,3,3.5,4,8.09,0,0.71
263,25263,308,103,2,2.5,4,8.36,1,0.7
264,25264,324,111,3,2.5,1.5,8.79,1,0.7
265,25265,325,110,2,3,2.5,8.76,1,0.75
266,25266,313,102,3,2.5,2.5,8.68,0,0.71
267,25267,312,105,2,2,2.5,8.45,0,0.72
268,25268,314,107,3,3,3.5,8.17,1,0.73
269,25269,327,113,4,4.5,5,9.14,0,0.83
270,25270,308,108,4,4.5,5,8.34,0,0.77
271,25271,306,105,2,2.5,3,8.22,1,0.72
272,25272,299,96,2,1.5,2,7.86,0,0.54
273,25273,294,95,1,1.5,1.5,7.64,0,0.49
274,25274,312,99,1,1,1.5,8.01,1,0.52
275,25275,315,100,1,2,2.5,7.95,0,0.58
276,25276,322,110,3,3.5,3,8.96,1,0.78
277,25277,329,113,5,5,4.5,9.45,1,0.89
278,25278,320,101,2,2.5,3,8.62,0,0.7
279,25279,308,103,2,3,3.5,8.49,0,0.66
280,25280,304,102,2,3,4,8.73,0,0.67
281,25281,311,102,3,4.5,4,8.64,1,0.68
282,25282,317,110,3,4,4.5,9.11,1,0.8
283,25283,312,106,3,4,3.5,8.79,1,0.81
284,25284,321,111,3,2.5,3,8.9,1,0.8
285,25285,340,112,4,5,4.5,9.66,1,0.94
286,25286,331,116,5,4,4,9.26,1,0.93
287,25287,336,118,5,4.5,4,9.19,1,0.92
288,25288,324,114,5,5,4.5,9.08,1,0.89
289,25289,314,104,4,5,5,9.02,0,0.82
290,25290,313,109,3,4,3.5,9,0,0.79
291,25291,307,105,2,2.5,3,7.65,0,0.58
292,25292,300,102,2,1.5,2,7.87,0,0.56
293,25293,302,99,2,1,2,7.97,0,0.56
294,25294,312,98,1,3.5,3,8.18,1,0.64
295,25295,316,101,2,2.5,2,8.32,1,0.61
296,25296,317,100,2,3,2.5,8.57,0,0.68
297,25297,310,107,3,3.5,3.5,8.67,0,0.76
298,25298,320,120,3,4,4.5,9.11,0,0.86
299,25299,330,114,3,4.5,4.5,9.24,1,0.9
300,25300,305,112,3,3,3.5,8.65,0,0.71
301,25301,309,106,2,2.5,2.5,8,0,0.62
302,25302,319,108,2,2.5,3,8.76,0,0.66
303,25303,322,105,2,3,3,8.45,1,0.65
304,25304,323,107,3,3.5,3.5,8.55,1,0.73
305,25305,313,106,2,2.5,2,8.43,0,0.62
306,25306,321,109,3,3.5,3.5,8.8,1,0.74
307,25307,323,110,3,4,3.5,9.1,1,0.79
308,25308,325,112,4,4,4,9,1,0.8
309,25309,312,108,3,3.5,3,8.53,0,0.69
310,25310,308,110,4,3.5,3,8.6,0,0.7
311,25311,320,104,3,3,3.5,8.74,1,0.76
312,25312,328,108,4,4.5,4,9.18,1,0.84
313,25313,311,107,4,4.5,4.5,9,1,0.78
314,25314,301,100,3,3.5,3,8.04,0,0.67
315,25315,305,105,2,3,4,8.13,0,0.66
316,25316,308,104,2,2.5,3,8.07,0,0.65
317,25317,298,101,2,1.5,2,7.86,0,0.54
318,25318,300,99,1,1,2.5,8.01,0,0.58
319,25319,324,111,3,2.5,2,8.8,1,0.79
320,25320,327,113,4,3.5,3,8.69,1,0.8
321,25321,317,106,3,4,3.5,8.5,1,0.75
322,25322,323,104,3,4,4,8.44,1,0.73
323,25323,314,107,2,2.5,4,8.27,0,0.72
324,25324,305,102,2,2,2.5,8.18,0,0.62
325,25325,315,104,3,3,2.5,8.33,0,0.67
326,25326,326,116,3,3.5,4,9.14,1,0.81
327,25327,299,100,3,2,2,8.02,0,0.63
328,25328,295,101,2,2.5,2,7.86,0,0.69
329,25329,324,112,4,4,3.5,8.77,1,0.8
330,25330,297,96,2,2.5,1.5,7.89,0,0.43
331,25331,327,113,3,3.5,3,8.66,1,0.8
332,25332,311,105,2,3,2,8.12,1,0.73
333,25333,308,106,3,3.5,2.5,8.21,1,0.75
334,25334,319,108,3,3,3.5,8.54,1,0.71
335,25335,312,107,4,4.5,4,8.65,1,0.73
336,25336,325,111,4,4,4.5,9.11,1,0.83
337,25337,319,110,3,3,2.5,8.79,0,0.72
338,25338,332,118,5,5,5,9.47,1,0.94
339,25339,323,108,5,4,4,8.74,1,0.81
340,25340,324,107,5,3.5,4,8.66,1,0.81
341,25341,312,107,3,3,3,8.46,1,0.75
342,25342,326,110,3,3.5,3.5,8.76,1,0.79
343,25343,308,106,3,3,3,8.24,0,0.58
344,25344,305,103,2,2.5,3.5,8.13,0,0.59
345,25345,295,96,2,1.5,2,7.34,0,0.47
346,25346,316,98,1,1.5,2,7.43,0,0.49
347,25347,304,97,2,1.5,2,7.64,0,0.47
348,25348,299,94,1,1,1,7.34,0,0.42
349,25349,302,99,1,2,2,7.25,0,0.57
350,25350,313,101,3,2.5,3,8.04,0,0.62
351,25351,318,107,3,3,3.5,8.27,1,0.74
352,25352,325,110,4,3.5,4,8.67,1,0.73
353,25353,303,100,2,3,3.5,8.06,1,0.64
354,25354,300,102,3,3.5,2.5,8.17,0,0.63
355,25355,297,98,2,2.5,3,7.67,0,0.59
356,25356,317,106,2,2,3.5,8.12,0,0.73
357,25357,327,109,3,3.5,4,8.77,1,0.79
358,25358,301,104,2,3.5,3.5,7.89,1,0.68
359,25359,314,105,2,2.5,2,7.64,0,0.7
360,25360,321,107,2,2,1.5,8.44,0,0.81
361,25361,322,110,3,4,5,8.64,1,0.85
362,25362,334,116,4,4,3.5,9.54,1,0.93
363,25363,338,115,5,4.5,5,9.23,1,0.91
364,25364,306,103,2,2.5,3,8.36,0,0.69
365,25365,313,102,3,3.5,4,8.9,1,0.77
366,25366,330,114,4,4.5,3,9.17,1,0.86
367,25367,320,104,3,3.5,4.5,8.34,1,0.74
368,25368,311,98,1,1,2.5,7.46,0,0.57
369,25369,298,92,1,2,2,7.88,0,0.51
370,25370,301,98,1,2,3,8.03,1,0.67
371,25371,310,103,2,2.5,2.5,8.24,0,0.72
372,25372,324,110,3,3.5,3,9.22,1,0.89
373,25373,336,119,4,4.5,4,9.62,1,0.95
374,25374,321,109,3,3,3,8.54,1,0.79
375,25375,315,105,2,2,2.5,7.65,0,0.39
376,25376,304,101,2,2,2.5,7.66,0,0.38
377,25377,297,96,2,2.5,2,7.43,0,0.34
378,25378,290,100,1,1.5,2,7.56,0,0.47
379,25379,303,98,1,2,2.5,7.65,0,0.56
380,25380,311,99,1,2.5,3,8.43,1,0.71
381,25381,322,104,3,3.5,4,8.84,1,0.78
382,25382,319,105,3,3,3.5,8.67,1,0.73
383,25383,324,110,4,4.5,4,9.15,1,0.82
384,25384,300,100,3,3,3.5,8.26,0,0.62
385,25385,340,113,4,5,5,9.74,1,0.96
386,25386,335,117,5,5,5,9.82,1,0.96
387,25387,302,101,2,2.5,3.5,7.96,0,0.46
388,25388,307,105,2,2,3.5,8.1,0,0.53
389,25389,296,97,2,1.5,2,7.8,0,0.49
390,25390,320,108,3,3.5,4,8.44,1,0.76
391,25391,314,102,2,2,2.5,8.24,0,0.64
392,25392,318,106,3,2,3,8.65,0,0.71
393,25393,326,112,4,4,3.5,9.12,1,0.84
394,25394,317,104,2,3,3,8.76,0,0.77
395,25395,329,111,4,4.5,4,9.23,1,0.89
396,25396,324,110,3,3.5,3.5,9.04,1,0.82
397,25397,325,107,3,3,3.5,9.11,1,0.84
398,25398,330,116,4,5,4.5,9.45,1,0.91
399,25399,312,103,3,3.5,4,8.78,0,0.67
400,25400,333,117,4,5,4,9.66,1,0.95
